id,language,Autoria,task_type,html_url,repo_url
3403020356,Java,Claude_Code,feat,https://github.com/itmca/lifepuzzle-backend/pull/98,https://api.github.com/repos/itmca/lifepuzzle-backend
3438422681,Java,Claude_Code,feat,https://github.com/omair-inam/gatling-report/pull/3,https://api.github.com/repos/omair-inam/gatling-report
3371426675,Java,Claude_Code,chore,https://github.com/Kazuuma-19/nippogen/pull/34,https://api.github.com/repos/Kazuuma-19/nippogen
3530052082,Java,Claude_Code,fix,https://github.com/minjcho/mqttServer/pull/43,https://api.github.com/repos/minjcho/mqttServer
3477095864,Java,Claude_Code,docs,https://github.com/Agile-Software-Engineering-25/team-13-backend-exagrad-student-service/pull/7,https://api.github.com/repos/Agile-Software-Engineering-25/team-13-backend-exagrad-student-service
3529474208,Java,Claude_Code,chore,https://github.com/minjcho/mqttServer/pull/22,https://api.github.com/repos/minjcho/mqttServer
3499771694,Java,Claude_Code,chore,https://github.com/jenkinsci/cloudbees-folder-plugin/pull/538,https://api.github.com/repos/jenkinsci/cloudbees-folder-plugin
3508353053,Java,Claude_Code,feat,https://github.com/ryu-qqq/CrawlingHub/pull/22,https://api.github.com/repos/ryu-qqq/CrawlingHub
3147063888,Java,Claude_Code,fix,https://github.com/panghy/javaflow/pull/21,https://api.github.com/repos/panghy/javaflow
3493089005,Java,Claude_Code,feat,https://github.com/cuioss/OAuth-Sheriff/pull/138,https://api.github.com/repos/cuioss/OAuth-Sheriff
3479339368,Java,Claude_Code,chore,https://github.com/joergstreeck/freshplan-sales-tool/pull/129,https://api.github.com/repos/joergstreeck/freshplan-sales-tool
3547682754,Java,Claude_Code,chore,https://github.com/CodeFleck/sensorvision/pull/9,https://api.github.com/repos/CodeFleck/sensorvision
3381844810,Java,Claude_Code,feat,https://github.com/Kazuuma-19/nippogen/pull/48,https://api.github.com/repos/Kazuuma-19/nippogen
3266487603,Java,Claude_Code,chore,https://github.com/seongmin1117/ReadFast/pull/9,https://api.github.com/repos/seongmin1117/ReadFast
3485278207,Java,Claude_Code,docs,https://github.com/tcheeric/nostr-java/pull/451,https://api.github.com/repos/tcheeric/nostr-java
3166232181,Java,Claude_Code,feat,https://github.com/cuioss/OAuth-Sheriff/pull/50,https://api.github.com/repos/cuioss/OAuth-Sheriff
3351011709,Java,Claude_Code,feat,https://github.com/openrewrite/rewrite-maven-plugin/pull/1031,https://api.github.com/repos/openrewrite/rewrite-maven-plugin
3530077031,Java,Claude_Code,chore,https://github.com/minjcho/mqttServer/pull/44,https://api.github.com/repos/minjcho/mqttServer
3526553478,Java,Claude_Code,feat,https://github.com/FalkorDB/spring-data-falkordb/pull/7,https://api.github.com/repos/FalkorDB/spring-data-falkordb
