id,language,Autoria,task_type,html_url,repo_url
3369571775,Java,Google_Jules,feat,https://github.com/ingla2020/helpdesk/pull/3,https://api.github.com/repos/ingla2020/helpdesk
3308024984,Java,Google_Jules,feat,https://github.com/w3canvas/javacanvas/pull/12,https://api.github.com/repos/w3canvas/javacanvas
3450275176,Java,Google_Jules,feat,https://github.com/arthow4n/week-number-android-widget/pull/2,https://api.github.com/repos/arthow4n/week-number-android-widget
3394649453,Java,Google_Jules,fix,https://github.com/IanMcNelly/maniacal-hunter/pull/8,https://api.github.com/repos/IanMcNelly/maniacal-hunter
3394722036,Java,Google_Jules,feat,https://github.com/IanMcNelly/maniacal-hunter/pull/9,https://api.github.com/repos/IanMcNelly/maniacal-hunter
3513465202,Java,Google_Jules,chore,https://github.com/thmarx/cms-server/pull/5,https://api.github.com/repos/thmarx/cms-server
3310161165,Java,Google_Jules,chore,https://github.com/HoneyBerries/BetterSpawnProtect/pull/2,https://api.github.com/repos/HoneyBerries/BetterSpawnProtect
3310317190,Java,Google_Jules,chore,https://github.com/mrKlar/DSCEnvisalink-BlueIris/pull/1,https://api.github.com/repos/mrKlar/DSCEnvisalink-BlueIris
3309961676,Java,Google_Jules,chore,https://github.com/HoneyBerries/BetterSpawnProtect/pull/1,https://api.github.com/repos/HoneyBerries/BetterSpawnProtect
3402562616,Java,Google_Jules,feat,https://github.com/indra87g/refactored-waffle-nk/pull/5,https://api.github.com/repos/indra87g/refactored-waffle-nk
3301258858,Java,Google_Jules,chore,https://github.com/xhanin/jarup/pull/4,https://api.github.com/repos/xhanin/jarup
3542808502,Java,Google_Jules,feat,https://github.com/jpalvesloiola/videomanager/pull/5,https://api.github.com/repos/jpalvesloiola/videomanager
3542820484,Java,Google_Jules,fix,https://github.com/jpalvesloiola/videomanager/pull/6,https://api.github.com/repos/jpalvesloiola/videomanager
3542754922,Java,Google_Jules,chore,https://github.com/lgalvao/sgc/pull/167,https://api.github.com/repos/lgalvao/sgc
3542845538,Java,Google_Jules,fix,https://github.com/lgalvao/sgc/pull/168,https://api.github.com/repos/lgalvao/sgc
